61,50,M,W,Simple Assault,Residence/Home,None,COLCHESTER
48,44,F,W,Aggravated Assault,Highway/Road/Alley/Street/Sidewalk,None,COLCHESTER
75,36,F,W,Simple Assault,Residence/Home,Personal Weapons,COLCHESTER
78,36,M,W,Aggravated Assault,Residence/Home,Personal Weapons,COLCHESTER
74,27,M,W,Aggravated Assault,Residence/Home,Personal Weapons,COLCHESTER
77,25,F,W,Simple Assault,Highway/Road/Alley/Street/Sidewalk,Personal Weapons,COLCHESTER
85,25,M,W,Simple Assault,Residence/Home,Personal Weapons,COLCHESTER
49,23,M,W,Simple Assault,Residence/Home,None,COLCHESTER
84,21,F,W,Aggravated Assault,Residence/Home,Personal Weapons,COLCHESTER
18,47,M,W,Fondling,Residence/Home,None,VT. STATE POLICE HDQ-BCI
