311974,47,M,W,Fondling,Residence,None,VERMONT STATE POLICE
313048,44,F,W,Aggravated Assault,Public Road,None,COLCHESTER
313049,23,M,W,Simple Assault,Residence,None,COLCHESTER
313061,50,M,W,Simple Assault,Residence,None,COLCHESTER
313074,27,M,W,Aggravated Assault,Residence,Personal Weapons,COLCHESTER
313075,36,F,W,Simple Assault,Residence,Personal Weapons,COLCHESTER
313077,25,F,W,Simple Assault,Public Road,Personal Weapons,COLCHESTER
313078,36,M,W,Aggravated Assault,Residence,Personal Weapons,COLCHESTER
313084,21,F,W,Aggravated Assault,Residence,Personal Weapons,COLCHESTER
313085,25,M,W,Simple Assault,Residence,Personal Weapons,COLCHESTER
313088,20,F,B,Aggravated Assault,Public Road,Personal Weapons,COLCHESTER
313095,17,M,B,Simple Assault,Residence,Personal Weapons,COLCHESTER
313099,86,F,W,Simple Assault,Residence,Personal Weapons,COLCHESTER
313102,34,M,W,Simple Assault,Residence,None,COLCHESTER
313116,47,F,U,Simple Assault,Hospital,None,COLCHESTER
313123,55,F,W,Simple Assault,Residence,Personal Weapons,COLCHESTER
313124,39,M,W,Aggravated Assault,Residence,Personal Weapons,COLCHESTER
313966,26,M,W,Aggravated Assault,Residence,Knife,COLCHESTER
313970,46,M,W,Simple Assault,Public Road,Personal Weapons,COLCHESTER
313976,27,M,W,Weapon Law Violations,Public Road,Handgun,COLCHESTER
313992,27,M,W,Robbery,Hotel,Handgun,COLCHESTER
314005,31,M,W,Weapon Law Violations,Residence,Handgun,COLCHESTER
314010,28,F,W,Simple Assault,Public Road,Personal Weapons,COLCHESTER
314014,37,M,W,Simple Assault,Residence,Personal Weapons,COLCHESTER
314025,25,F,W,Simple Assault,Residence,Personal Weapons,COLCHESTER
314037,53,M,W,Simple Assault,Hotel,Personal Weapons,COLCHESTER
314038,47,F,W,Simple Assault,Public Road,Personal Weapons,COLCHESTER
314040,20,F,U,Simple Assault,Residence,Personal Weapons,COLCHESTER
314041,32,F,A,Simple Assault,Residence,None,COLCHESTER
314042,39,M,W,Simple Assault,Residence,Personal Weapons,COLCHESTER
314046,17,M,U,Rape,Residence,None,COLCHESTER
314047,27,M,W,Simple Assault,Residence,Personal Weapons,COLCHESTER
314051,40,M,W,Aggravated Assault,Residence,None,COLCHESTER
314054,59,F,W,Simple Assault,Residence,None,COLCHESTER
314058,55,F,W,Simple Assault,Residence,None,COLCHESTER
314062,57,M,W,Simple Assault,Residence,Personal Weapons,COLCHESTER
314066,27,F,W,Simple Assault,Residence,None,COLCHESTER
314092,17,M,W,Simple Assault,Residence,None,COLCHESTER
314094,31,F,W,Destruction of Property,Residence,Personal Weapons,COLCHESTER
314115,49,F,W,Simple Assault,Residence,None,COLCHESTER
314116,14,M,B,Fondling,Residence,None,COLCHESTER
314955,14,M,U,Simple Assault,School,Personal Weapons,COLCHESTER
314959,34,F,W,Simple Assault,Residence,Personal Weapons,COLCHESTER
314960,45,M,B,Simple Assault,Park/Playground,Personal Weapons,COLCHESTER
314962,40,M,W,Aggravated Assault,Campground,Personal Weapons,COLCHESTER
